eats eaten eat
beats beaten beat
kicks kicked kick
punches punched punch
bites bitten bite
admires admired admire
sells sold sell
shows showed show
offers offered offer
stops stopped stop
washes washed wash
reveres revered revere
eyes eyed eye
fears feared fear
brings brought bring
borrows borrowed borrow
fancies fancied fancy
detests detested detest
licks licked lick
hugs hugged hug
kisses kissed kiss
appreciates appreciated appreciate
brushes brushed brush
burns burnt burn
claims claimed claim
draws drawn draw
faces faced face
films filmed film
guards guarded guard
imagines imagined imagine
inspects inspected inspect
marks marked mark
names named name
owns owned own
paints painted paint
pushes pushed push
rates rated rate
receives received receive
remembers remembered remember
returns returned return
scrapes scraped scrape
slaps slapped slap
sniffs sniffed sniff
stains stained stain
wins won win
scrutinizes scrutinized scrutinize
warms warmed warm
freezes frozen freeze
abandons abandoned abandon
defiles defiled defile
mistreats mistreated mistreat
builds built build
chooses chose choose
forgets forgot forget
hears heard hear
sends sent send
approves approved approve
bans banned ban
bathes bathed bathe
bleaches bleached bleach
blesses blessed bless
bombs bombed bomb
breaks broke break
buries buries bury
carries carried carry
charges charged charge
checks checked check
collects collected collect
covers covered cover
criticizes criticized criticize
decorates decorated decorate
describes described describe
dries dried dry
dusts dusted dust
emphasizes emphasized emphasize
greases greased grease
butters buttered butter
identifies identified identify
reddens reddened redden
marvels marveled marvel
oils oiled oil
pats patted pat
places placed place
presents presented present
punctures punctured puncture
slices sliced slice
squashes squashed squash
strokes stroked stroke
twists twisted twist
locates located locate
welcomes welcomed welcome
publicizes publicized publicize
demolishes demolished demolish
vandalizes vandalized vandalize
idolizes idolized idolize
appraises appraised appraise
salts salted salt
waters watered water
aerates aerated aerate
shoots shot shoot
eats2 eaten2 eat2
beats2 beaten2 beat2
kicks2 kicked2 kick2
punches2 punched2 punch2
bites2 bitten2 bite2
admires2 admired2 admire2
sells2 sold2 sell2
shows2 showed2 show2
offers2 offered2 offer2
stops2 stopped2 stop2
washes2 washed2 wash2
reveres2 revered2 revere2
eyes2 eyed2 eye2
fears2 feared2 fear2
brings2 brought2 bring2
borrows2 borrowed2 borrow2
fancies2 fancied2 fancy2
detests2 detested2 detest2
licks2 licked2 lick2
hugs2 hugged2 hug2
kisses2 kissed2 kiss2
appreciates2 appreciated2 appreciate2
brushes2 brushed2 brush2
burns2 burnt2 burn2
claims2 claimed2 claim2
draws2 drawn2 draw2
faces2 faced2 face2
films2 filmed2 film2
guards2 guarded2 guard2
imagines2 imagined2 imagine2
inspects2 inspected2 inspect2
marks2 marked2 mark2
names2 named2 name2
owns2 owned2 own2
paints2 painted2 paint2
pushes2 pushed2 push2
rates2 rated2 rate2
receives2 received2 receive2
remembers2 remembered2 remember2
returns2 returned2 return2
scrapes2 scraped2 scrape2
slaps2 slapped2 slap2
sniffs2 sniffed2 sniff2
stains2 stained2 stain2
wins2 won2 win2
scrutinizes2 scrutinized2 scrutinize2
warms2 warmed2 warm2
freezes2 frozen2 freeze2
abandons2 abandoned2 abandon2
defiles2 defiled2 defile2
mistreats2 mistreated2 mistreat2
builds2 built2 build2
chooses2 chose2 choose2
forgets2 forgot2 forget2
hears2 heard2 hear2
sends2 sent2 send2
approves2 approved2 approve2
bans2 banned2 ban2
bathes2 bathed2 bathe2
bleaches2 bleached2 bleach2
blesses2 blessed2 bless2
bombs2 bombed2 bomb2
breaks2 broke2 break2
buries2 buries2 bury2
carries2 carried2 carry2
charges2 charged2 charge2
checks2 checked2 check2
collects2 collected2 collect2
covers2 covered2 cover2
criticizes2 criticized2 criticize2
decorates2 decorated2 decorate2
describes2 described2 describe2
dries2 dried2 dry2
dusts2 dusted2 dust2
emphasizes2 emphasized2 emphasize2
greases2 greased2 grease2
butters2 buttered2 butter2
identifies2 identified2 identify2
reddens2 reddened2 redden2
marvels2 marveled2 marvel2
oils2 oiled2 oil2
pats2 patted2 pat2
places2 placed2 place2
presents2 presented2 present2
punctures2 punctured2 puncture2
slices2 sliced2 slice2
squashes2 squashed2 squash2
strokes2 stroked2 stroke2
twists2 twisted2 twist2
locates2 located2 locate2
welcomes2 welcomed2 welcome2
publicizes2 publicized2 publicize2
demolishes2 demolished2 demolish2
vandalizes2 vandalized2 vandalize2
idolizes2 idolized2 idolize2
appraises2 appraised2 appraise2
salts2 salted2 salt2
waters2 watered2 water2
aerates2 aerated2 aerate2
shoots2 shot2 shoot2
eats3 eaten3 eat3
beats3 beaten3 beat3
kicks3 kicked3 kick3
punches3 punched3 punch3
bites3 bitten3 bite3
admires3 admired3 admire3
sells3 sold3 sell3
shows3 showed3 show3
offers3 offered3 offer3
stops3 stopped3 stop3
washes3 washed3 wash3
reveres3 revered3 revere3
eyes3 eyed3 eye3
fears3 feared3 fear3
brings3 brought3 bring3
borrows3 borrowed3 borrow3
fancies3 fancied3 fancy3
detests3 detested3 detest3
licks3 licked3 lick3
hugs3 hugged3 hug3
kisses3 kissed3 kiss3
appreciates3 appreciated3 appreciate3
brushes3 brushed3 brush3
burns3 burnt3 burn3
claims3 claimed3 claim3
draws3 drawn3 draw3
faces3 faced3 face3
films3 filmed3 film3
guards3 guarded3 guard3
imagines3 imagined3 imagine3
inspects3 inspected3 inspect3
marks3 marked3 mark3
names3 named3 name3
owns3 owned3 own3
paints3 painted3 paint3
pushes3 pushed3 push3
rates3 rated3 rate3
receives3 received3 receive3
remembers3 remembered3 remember3
returns3 returned3 return3
scrapes3 scraped3 scrape3
slaps3 slapped3 slap3
sniffs3 sniffed3 sniff3
stains3 stained3 stain3
wins3 won3 win3
scrutinizes3 scrutinized3 scrutinize3
warms3 warmed3 warm3
freezes3 frozen3 freeze3
abandons3 abandoned3 abandon3
defiles3 defiled3 defile3
mistreats3 mistreated3 mistreat3
builds3 built3 build3
chooses3 chose3 choose3
forgets3 forgot3 forget3
hears3 heard3 hear3
sends3 sent3 send3
approves3 approved3 approve3
bans3 banned3 ban3
bathes3 bathed3 bathe3
bleaches3 bleached3 bleach3
blesses3 blessed3 bless3
bombs3 bombed3 bomb3
breaks3 broke3 break3
buries3 buries3 bury3
carries3 carried3 carry3
charges3 charged3 charge3
checks3 checked3 check3
collects3 collected3 collect3
covers3 covered3 cover3
criticizes3 criticized3 criticize3
decorates3 decorated3 decorate3
describes3 described3 describe3
dries3 dried3 dry3
dusts3 dusted3 dust3
emphasizes3 emphasized3 emphasize3
greases3 greased3 grease3
butters3 buttered3 butter3
identifies3 identified3 identify3
reddens3 reddened3 redden3
marvels3 marveled3 marvel3
oils3 oiled3 oil3
pats3 patted3 pat3
places3 placed3 place3
presents3 presented3 present3
punctures3 punctured3 puncture3
slices3 sliced3 slice3
squashes3 squashed3 squash3
strokes3 stroked3 stroke3
